Price,Type,Parking Spaces,Land Size,Building Size,Architecture Style,Bedrooms,Bathrooms,Livingrooms,Basements,State
950.0,Townhouse,2.0,485.62,89.37,Other,2.0,2.0,1.0,0.0,Florida
8.0,House,0.0,668.44,133.04,Other,3.0,2.0,1.0,0.0,South Dakota
2000.0,Other,0.0,668.44,133.04,Other,2.0,1.0,1.0,0.0,South Dakota
2650.0,House,0.0,668.44,148.64,Other,3.0,2.0,1.0,0.0,South Dakota
2100.0,House,4.0,668.44,102.94,Other,3.0,1.0,1.0,0.0,Virginia
28.0,Other,0.0,16227.91,133.04,Other,3.0,2.0,1.0,0.0,Washington
2800.0,Other,2.0,668.44,144.0,Other,3.0,2.0,1.0,0.0,South Dakota
2500.0,House,2.0,668.44,124.95,Other,3.0,2.0,1.0,0.0,South Dakota
2950.0,House,1.0,668.44,103.03,Split Level,4.0,2.0,1.0,0.0,South Dakota
22.0,Other,0.0,668.44,133.04,Other,3.0,2.0,1.0,0.0,South Dakota
2000.0,Townhouse,1.0,668.44,133.04,Other,2.0,1.0,1.0,0.0,South Dakota
1750.0,Other,2.0,668.44,46.45,Other,1.0,1.0,1.0,0.0,South Dakota
2100.0,Other,1.0,668.44,130.06,Other,2.0,2.0,1.0,0.0,South Dakota
7995.0,Other,2.0,668.44,260.13,High Rise,3.0,4.0,1.0,0.0,South Dakota
2995.0,House,1.0,668.44,102.19,Other,2.0,2.0,1.0,0.0,South Dakota
2200.0,Other,1.0,668.44,74.32,Loft,1.0,1.0,1.0,0.0,South Dakota
1750.0,Other,0.0,668.44,78.97,Other,2.0,1.0,1.0,0.0,South Dakota
3000.0,Other,2.0,668.44,162.12,Other,3.0,3.0,1.0,0.0,Washington
3650.0,Other,3.0,668.44,194.07,Other,3.0,2.0,1.0,0.0,South Dakota
3050.0,Other,2.0,668.44,117.99,Other,2.0,2.0,1.0,0.0,South Dakota
2350.0,Townhouse,2.0,668.44,140.75,Other,2.0,3.0,1.0,0.0,Virginia
13000.0,House,3.0,668.44,743.22,Other,7.0,7.0,1.0,0.0,South Dakota
2500.0,Other,0.0,668.44,83.61,Other,2.0,2.0,1.0,0.0,South Dakota
4200.0,Other,1.0,668.44,157.94,Other,3.0,2.0,1.0,0.0,South Dakota
1100.0,Other,1.0,668.44,133.04,Other,2.0,1.0,1.0,0.0,South Dakota
2400.0,Townhouse,2.0,668.44,153.85,Other,2.0,3.0,1.0,0.0,Illinois
6980.0,House,2.0,668.44,374.59,Other,5.0,6.0,1.0,0.0,South Dakota
900.0,Other,2.0,668.44,67.35,Other,3.0,1.0,1.0,0.0,Illinois
1700.0,Other,1.0,668.44,111.48,Other,2.0,1.0,1.0,0.0,South Dakota
1850.0,Other,3.0,668.44,63.45,Other,2.0,1.0,1.0,0.0,South Dakota
2400.0,House,0.0,668.44,71.35,Other,3.0,2.0,1.0,0.0,South Dakota
2450.0,Other,3.0,668.44,130.62,Other,1.0,1.0,1.0,0.0,South Dakota
4800.0,House,4.0,668.44,188.22,Other,6.0,3.0,1.0,0.0,Massachusetts
1650.0,Other,0.0,668.44,92.9,Other,2.0,1.0,1.0,0.0,South Dakota
2700.0,Apartment,1.0,668.44,78.5,Other,2.0,1.0,1.0,0.0,Massachusetts
3300.0,House,2.0,668.44,162.95,Other,3.0,2.0,1.0,0.0,Massachusetts
1900.0,Apartment,0.0,668.44,115.85,Other,3.0,2.0,1.0,0.0,California
4600.0,House,0.0,202.34,281.22,Other,5.0,4.0,1.0,0.0,California
1400.0,Townhouse,0.0,930.78,106.0,Other,2.0,2.0,1.0,0.0,Florida
2800.0,Townhouse,0.0,242.81,165.0,Other,3.0,3.0,1.0,0.0,California
3100.0,House,0.0,526.09,264.49,Other,5.0,3.0,1.0,0.0,Florida
2400.0,Townhouse,0.0,202.34,176.52,Other,3.0,3.0,1.0,0.0,Florida
1250.0,House,0.0,3237.49,62.43,Other,2.0,1.0,1.0,0.0,Florida
2495.0,House,0.0,768.9,132.85,Other,4.0,3.0,1.0,0.0,California
1800.0,Apartment,0.0,40.47,199.74,Other,3.0,3.0,1.0,0.0,Maryland
2200.0,House,0.0,930.78,128.39,Ranch,3.0,2.0,1.0,0.0,Arizona
2300.0,House,0.0,1153.36,135.45,Ranch,4.0,2.0,1.0,0.0,Arizona
4350.0,Townhouse,0.0,1.9,130.71,Cape Cod,2.0,3.0,1.0,0.0,California
18500.0,Apartment,1.0,668.44,143.44,Other,2.0,3.0,1.0,0.0,Tennessee
22500.0,House,2.0,0.02,297.29,Mediterranean,5.0,3.0,1.0,0.0,California
10000.0,House,0.0,8255.59,164.07,Other,2.0,2.0,1.0,0.0,Colorado
4250.0,House,2.0,0.11,297.29,Cape Cod,4.0,5.0,1.0,0.0,Maryland
3500.0,House,0.0,668.44,223.99,Other,4.0,3.0,1.0,0.0,Florida
2100.0,Townhouse,0.0,161.87,154.96,Other,3.0,3.0,1.0,0.0,Florida
650.0,Other,0.0,668.44,247.12,Other,3.0,2.0,1.0,0.0,Georgia
1700.0,Apartment,0.0,668.44,43.66,Other,1.0,1.0,1.0,0.0,Georgia
5500.0,House,0.0,849.84,202.71,Cottage,4.0,3.0,1.0,0.0,Georgia
1700.0,Apartment,0.0,5463.26,92.9,Other,2.0,2.0,1.0,0.0,Florida
2800.0,Townhouse,5.0,849.84,106.84,Other,2.0,1.0,1.0,0.0,New York
1200.0,Apartment,1.0,1092.65,74.32,Other,1.0,1.0,1.0,0.0,New York
1600.0,Other,0.0,809.37,114.64,New Traditional,3.0,2.0,1.0,0.0,South Carolina
1850.0,Apartment,0.0,668.44,120.77,Other,3.0,1.0,1.0,0.0,New York
16000.0,House,2.0,265.07,338.54,New Traditional,4.0,4.0,1.0,0.0,California
23000.0,Other,2.0,426.13,324.79,Other,4.0,5.0,1.0,0.0,California
7500.0,Other,0.0,470.25,92.9,Bungalow,2.0,2.0,1.0,0.0,California
3300.0,Apartment,2.0,6974.36,74.14,Contemporary,2.0,2.0,1.0,0.0,California
2900.0,Apartment,2.0,743.81,113.43,Contemporary,2.0,1.0,1.0,0.0,California
5400.0,Apartment,2.0,668.44,185.81,Contemporary,3.0,2.0,1.0,0.0,California
5100.0,Apartment,1.0,564.13,195.1,Modern,3.0,3.0,1.0,0.0,California
4900.0,House,2.0,846.2,281.12,Other,3.0,2.0,1.0,0.0,California
4495.0,Other,1.0,20720.73,127.46,Contemporary,2.0,2.0,1.0,0.0,California
13999.0,Apartment,2.0,668.44,276.85,Modern,3.0,4.0,1.0,0.0,California
4600.0,Townhouse,23.0,960.72,111.48,Contemporary,2.0,2.0,1.0,0.0,California
3500.0,Other,1.0,534.99,102.19,Other,2.0,2.0,1.0,0.0,California
18500.0,House,2.0,966.39,345.32,Contemporary,4.0,4.0,1.0,0.0,California
5150.0,Other,2.0,668.44,168.71,Other,2.0,3.0,1.0,0.0,California
19500.0,Other,2.0,668.44,488.39,Other,7.0,8.0,1.0,0.0,California
15995.0,Other,4.0,611.08,342.91,Other,4.0,5.0,1.0,0.0,California
7500.0,House,2.0,650.33,221.39,Other,4.0,3.0,1.0,0.0,California
14999.0,Other,2.0,1892.31,196.95,Ranch,3.0,3.0,1.0,0.0,California
2000.0,House,2.0,404.69,152.83,Other,3.0,2.0,1.0,0.0,Texas
2400.0,House,4.0,534.19,178.19,Other,3.0,2.0,1.0,0.0,Texas
2475.0,Apartment,4.0,226.62,178.56,Other,4.0,3.0,1.0,0.0,Texas
1600.0,Townhouse,2.0,798.45,83.61,Other,2.0,1.0,1.0,0.0,Texas
2195.0,House,2.0,445.15,199.09,Other,4.0,3.0,1.0,0.0,Texas
3700.0,House,6.0,5989.35,182.18,Other,4.0,2.0,1.0,0.0,Texas
2300.0,House,4.0,594.89,260.69,Other,4.0,3.0,1.0,0.0,Texas
1495.0,Townhouse,2.0,999.57,94.2,Other,2.0,3.0,1.0,0.0,Texas
3600.0,Apartment,2.0,668.44,73.95,Other,2.0,2.0,1.0,0.0,Texas
2295.0,Apartment,2.0,186.56,191.66,Other,3.0,3.0,1.0,0.0,Texas
1295.0,Townhouse,1.0,667.73,76.27,Other,2.0,1.0,1.0,0.0,Texas
2150.0,House,4.0,665.3,221.67,Other,3.0,3.0,1.0,0.0,Texas
1350.0,Townhouse,2.0,716.29,81.38,Other,2.0,2.0,1.0,0.0,Texas
2300.0,House,0.0,927.14,134.71,New Traditional,3.0,2.0,1.0,0.0,Pennsylvania
2050.0,Townhouse,0.0,161.87,164.9,Other,3.0,3.0,1.0,0.0,Utah
1895.0,Townhouse,0.0,668.44,156.08,Other,3.0,3.0,1.0,0.0,Utah
1800.0,House,0.0,1416.4,183.95,Other,3.0,3.0,1.0,0.0,North Carolina
7.0,Other,0.0,1578.28,1297.02,Other,3.0,2.0,1.0,0.0,North Carolina
2495.0,Townhouse,0.0,668.44,207.17,Other,4.0,4.0,1.0,0.0,Pennsylvania
1695.0,Townhouse,0.0,161.87,167.23,Other,3.0,3.0,1.0,0.0,Utah
2495.0,Townhouse,0.0,668.44,218.69,Other,4.0,4.0,1.0,0.0,Utah
2900.0,Townhouse,0.0,668.44,206.52,Other,4.0,4.0,1.0,0.0,Utah
2195.0,House,0.0,668.44,150.87,Other,3.0,3.0,1.0,0.0,North Carolina
1860.0,House,0.0,668.44,96.62,Other,3.0,2.0,1.0,0.0,North Carolina
1749.0,Townhouse,0.0,668.44,127.28,Other,2.0,3.0,1.0,0.0,Utah
1700.0,Other,0.0,80.94,133.04,Other,2.0,3.0,1.0,0.0,North Carolina
1695.0,House,1.0,668.44,102.19,New Traditional,2.0,1.0,1.0,0.0,Pennsylvania
795.0,Apartment,0.0,668.44,80.36,New Traditional,1.0,1.0,1.0,0.0,Pennsylvania
2200.0,Townhouse,0.0,668.44,139.35,Other,3.0,3.0,1.0,0.0,Pennsylvania
2900.0,House,0.0,542.28,167.69,New Traditional,3.0,3.0,1.0,0.0,Pennsylvania
1095.0,Apartment,0.0,358.15,41.81,Cottage,1.0,1.0,1.0,0.0,Pennsylvania
2095.0,Apartment,1.0,668.44,116.04,New Traditional,2.0,3.0,1.0,0.0,Pennsylvania
2295.0,Townhouse,0.0,668.44,104.61,Other,2.0,2.0,1.0,0.0,Pennsylvania
1950.0,Townhouse,1.0,668.44,116.13,Other,3.0,2.0,1.0,0.0,Pennsylvania
2395.0,House,0.0,668.44,208.85,Cape Cod,3.0,2.0,1.0,0.0,Pennsylvania
3000.0,Other,4.0,668.44,200.76,New Traditional,3.0,3.0,1.0,0.0,Pennsylvania
1400.0,House,0.0,668.44,89.56,Ranch,2.0,1.0,1.0,0.0,Pennsylvania
1425.0,Apartment,0.0,668.44,102.19,Other,1.0,1.0,1.0,0.0,Pennsylvania
2800.0,Townhouse,0.0,668.44,185.81,Other,3.0,3.0,1.0,0.0,Pennsylvania
1200.0,House,0.0,2225.77,80.27,Other,1.0,1.0,1.0,1.0,Michigan
10.0,Other,0.0,668.44,111.48,Other,3.0,2.0,1.0,0.0,Pennsylvania
1695.0,House,0.0,566.56,127.28,New Traditional,3.0,2.0,1.0,0.0,South Carolina
3300.0,House,0.0,668.44,213.68,New Traditional,4.0,4.0,1.0,0.0,Pennsylvania
2200.0,House,0.0,1375.93,231.79,New Traditional,4.0,2.0,1.0,0.0,Pennsylvania
2400.0,House,0.0,668.44,203.83,Colonial,4.0,3.0,1.0,0.0,Pennsylvania
3200.0,Townhouse,0.0,668.44,162.58,New Traditional,3.0,3.0,1.0,0.0,Pennsylvania
1900.0,House,0.0,2185.3,185.53,Other,3.0,6.0,2.0,2.0,Michigan
10.0,Other,0.0,668.44,222.97,Other,3.0,2.0,1.0,0.0,Pennsylvania
1350.0,House,0.0,668.44,115.48,Other,3.0,2.0,1.0,0.0,Oklahoma
2400.0,House,2.0,668.44,159.7,Other,3.0,2.0,1.0,0.0,Texas
2300.0,House,0.0,1578.28,250.37,Other,4.0,2.0,2.0,1.0,Michigan
2200.0,House,0.0,388.5,145.67,New Traditional,3.0,2.0,1.0,0.0,Texas
10000.0,House,0.0,1485.2,264.77,Ranch,4.0,4.0,1.0,0.0,Texas
995.0,Townhouse,0.0,501.81,60.39,Other,1.0,1.0,1.0,0.0,Texas
2400.0,House,0.0,420.87,141.12,New Traditional,3.0,3.0,1.0,0.0,Texas
3000.0,House,0.0,465.39,228.54,Craftsman,4.0,2.0,1.0,1.0,Texas
2650.0,House,0.0,768.9,168.9,Other,3.0,2.0,1.0,0.0,Texas
2000.0,House,0.0,849.84,165.46,New Traditional,3.0,2.0,1.0,0.0,Texas
1900.0,Apartment,0.0,14791.27,90.3,New Traditional,2.0,2.0,1.0,0.0,Texas
1900.0,House,0.0,668.44,219.44,Other,3.0,1.0,1.0,0.0,Florida
4115.0,Apartment,0.0,668.44,251.02,Other,2.0,2.0,1.0,0.0,Florida
2550.0,Apartment,0.0,668.44,92.07,Other,2.0,2.0,1.0,0.0,Florida
1800.0,Apartment,0.0,668.44,106.37,Other,2.0,2.0,1.0,0.0,Florida
13500.0,House,3.0,668.44,394.65,Other,4.0,5.0,1.0,0.0,Florida
2500.0,Apartment,0.0,668.44,68.56,Other,1.0,2.0,1.0,0.0,Florida
2399.0,House,0.0,930.78,220.27,Ranch,3.0,2.0,1.0,0.0,Texas
